T,solar,wind,price
1,0,0.889717042,47.76
2,0,0.877715468,47.76
3,0,0.903424203,48.43
4,0,0.895153165,47.76
5,0,0.757258117,47.76
6,0,0.630928695,47.76
7,0,0.557177782,36.82
8,0,0.6072492,47.26
9,0.1779,0.423417866,34.85
10,0.429,0.007470775,38.8
11,0.5748,0.002535942,47.26
12,0.6484,0.002153709,47.26
13,0.6208,0.00445132,47.77
14,0.596,0.007711587,55.42
15,0.5013,0.100848213,47.77
16,0.3311,0.201802149,55.42
17,0.0642,0.141933054,49.5
18,0,0.567022562,255.04
19,0,0.946024895,255.04
20,0,0.923394203,55.42
21,0,0.953386247,55.42
22,0,0.929205418,55.42
23,0,0.849528909,49.5
24,0,0.665570974,49.5
25,0,0.527450681,46.76
26,0,0.64820224,38.8
27,0,0.636301041,36.99
28,0,0.914841771,36.48
29,0,0.857677341,34.27
30,0,0.824768543,36.48
31,0,0.586626828,35.87
32,0,0.485967815,38.65
33,0.16,0.565889001,47.62
34,0.3418,0.741932392,47.68
35,0.4952,0.929326653,47.68
36,0.5654,0.986445904,49.61
37,0.5713,0.991647005,70.16
38,0.5414,0.985625088,70.58
39,0.4677,0.991092265,68.25
40,0.3193,0.951515317,70.58
41,0.1003,0.961550415,72.21
42,0,0.797302723,147.63
43,0,0.725138009,116.65
44,0,0.543448448,72.21
45,0,0.825306416,71.09
46,0,0.921077967,61.34
47,0,0.825397491,61.22
48,0,0.801085293,61.03
49,0,0.838672936,46.72
50,0,0.658602715,46.38
51,0,0.48531872,46.38
52,0,0.595986664,46.38
53,0,0.621841788,46.38
54,0,0.698297441,46.38
55,0,0.565368712,38.65
56,0,0.362982541,47.68
57,0.2147,0.427276224,49.11
58,0.436,0.887898088,50.02
59,0.5787,0.952664733,50.02
60,0.632,0.976346016,51.73
61,0.6451,0.998005092,69.99
62,0.6207,0.978558242,69.99
63,0.5504,0.992356002,69.33
64,0.3781,0.986144602,69.99
65,0.1371,0.851535916,71.7
66,0,0.903066397,131.94
