T,Hour,Day,Solar,Wind,Price
1,1,0,0,0.791596415,47.76
2,2,0,0,0.770384443,47.76
3,3,0,0,0.816175291,48.43
4,4,0,0,0.801299189,47.76
5,5,0,0,0.573439856,47.76
6,6,0,0,0.398071018,47.76
7,7,0,0,0.310447081,36.82
8,8,0,0,0.368751591,47.26
9,9,0,0.1779,0.179282689,34.85
10,10,0,0.429,0,38.8
11,11,0,0.5748,0,47.26
12,12,0,0.6484,0,47.26
13,13,0,0.6208,0,47.77
14,14,0,0.596,0,55.42
15,15,0,0.5013,0.010170362,47.77
16,16,0,0.3311,0.040724107,55.42
17,17,0,0.0642,0.020144992,49.5
18,18,0,0,0.321514586,100
19,19,0,0,0.894963102,110
20,20,0,0,0.852656854,55.42
21,21,0,0,0.908945336,55.42
22,22,0,0,0.863422709,55.42
23,23,0,0,0.721699367,49.5
24,24,0,0,0.442984721,49.5
25,1,1,0,0.278204221,46.76
26,2,1,0,0.420166144,38.8
27,3,1,0,0.404879015,36.99
28,4,1,0,0.836935466,36.48
29,5,1,0,0.735610421,34.27
30,6,1,0,0.68024315,36.48
31,7,1,0,0.344131035,35.87
32,8,1,0,0.236164717,38.65
33,9,1,0.16,0.320230361,47.62
34,10,1,0.3418,0.550463674,47.68
35,11,1,0.4952,0.863648028,47.68
36,12,1,0.5654,0.973075522,49.61
37,13,1,0.5713,0.983363783,70.16
38,14,1,0.5414,0.971456814,70.58
39,15,1,0.4677,0.982263878,68.25
40,16,1,0.3193,0.905381398,70.58
41,17,1,0.1003,0.924579201,72.21
42,18,1,0,0.635691632,147.63
43,19,1,0,0.525825132,116.65
44,20,1,0,0.295336216,72.21
45,21,1,0,0.68113068,71.09
46,22,1,0,0.848384621,61.34
47,23,1,0,0.681281018,61.22
48,24,1,0,0.641737647,61.03
49,1,2,0,0.703372294,46.72
50,2,2,0,0.433757536,46.38
51,3,2,0,0.23553426,46.38
52,4,2,0,0.355200104,46.38
53,5,2,0,0.386687209,46.38
54,6,2,0,0.487619316,46.38
55,7,2,0,0.319641781,38.65
56,8,2,0,0.131756325,47.68
57,9,2,0.2147,0.182564972,49.11
58,10,2,0.436,0.788363015,50.02
59,11,2,0.5787,0.907570094,50.02
60,12,2,0.632,0.953251543,51.73
61,13,2,0.6451,0.996014164,69.99
62,14,2,0.6207,0.957576233,69.99
63,15,2,0.5504,0.984770435,69.33
64,16,2,0.3781,0.972481176,69.99
65,17,2,0.1371,0.725113416,71.7
66,18,2,0,0.815528917,131.94
67,19,2,0,0.988500231,110.19
68,20,2,0,0.684693193,96.07
69,21,2,0,0.93278585,94.2
70,22,2,0,0.921908631,49.86
71,23,2,0,0.975614609,49.69
72,24,2,0,0.96022948,47.48
73,1,3,0,0.999626433,36.21
74,2,3,0,0.986046692,36.21
75,3,3,0,0.833105826,35.87
76,4,3,0,0.810565895,34.31
77,5,3,0,0.811625976,34.31
78,6,3,0,0.618109764,35.87
79,7,3,0,0.562057166,38.16
80,8,3,0,0.472475635,47.77
81,9,3,0.2277,0.365244939,48.1
82,10,3,0.4502,0.359792849,49.78
83,11,3,0.6046,0.333516354,72.44
84,12,3,0.6791,0,72.44
85,13,3,0.6728,0,72.44
86,14,3,0.6482,0,72.44
87,15,3,0.528,0,72.44
88,16,3,0.3343,0,49.78
89,17,3,0.028,0,72.44
90,18,3,0,0,72.44
91,19,3,0,0.050245074,72.44
92,20,3,0,0.075890102,55.07
93,21,3,0,0.173849255,72.44
94,22,3,0,0.152683529,50.71
95,23,3,0,0.215167432,50.71
96,24,3,0,0.176307451,72.44
97,1,4,0,0.106210122,47.96
98,2,4,0,0.273276308,50.71
99,3,4,0,0.133946901,38.16
100,4,4,0,0.180107494,36.23
101,5,4,0,0.187589176,35.89
102,6,4,0,0.131674815,37.72
103,7,4,0,0.052042324,33.36
104,8,4,0,0.065022064,38.2
105,9,4,0.1033,0.08841886,39.16
106,10,4,0.2804,0.070237408,38.2
107,11,4,0.4372,0.060844181,47.64
108,12,4,0.5913,0.043909339,43.98
109,13,4,0.5349,0.045484885,52.46
110,14,4,0.4854,0.124901771,52.46
111,15,4,0.3973,0.168495219,52.46
112,16,4,0.2948,0.654315737,56.42
113,17,4,0.0897,0.598121297,60.23
114,18,4,0,0.65600113,68.78
115,19,4,0,0.469710425,209.47
116,20,4,0,0.210457095,209.47
117,21,4,0,0.230119952,68.79
118,22,4,0,0,62.09
119,23,4,0,0.139233754,59.73
120,24,4,0,0.028218202,59.73
121,1,5,0,0.111347695,56.66
122,2,5,0,0.089275558,47.66
123,3,5,0,0.023146332,47.15
124,4,5,0,0,38.2
125,5,5,0,0.022095322,38.2
126,6,5,0,0.043739846,38.2
127,7,5,0,0.058517317,36.72
128,8,5,0,0.054176516,36.38
129,9,5,0.1023,0.187877622,36.38
130,10,5,0.2939,0.280857766,35.88
131,11,5,0.5036,0.0632977,37.48
132,12,5,0.62,0.064514187,47.35
133,13,5,0.5947,0.046966118,47.35
134,14,5,0.4261,0.090111336,47.87
135,15,5,0.3649,0.031378795,47.47
136,16,5,0.1992,0.017759216,55.68
137,17,5,0.0151,0.079356947,58.72
138,18,5,0,0.168311892,75.29
139,19,5,0,0.121536194,274.43
140,20,5,0,0.030446122,75.29
141,21,5,0,0.08960205,70.56
142,22,5,0,0.099609535,67.76
143,23,5,0,0.153863968,55.69
144,24,5,0,0.162559138,45.68
145,1,6,0,0.128729694,44.59
146,2,6,0,0.197499609,44.09
147,3,6,0,0.264511468,42.21
148,4,6,0,0.231829249,36.78
149,5,6,0,0.112991687,36.78
150,6,6,0,0.010107103,36.78
151,7,6,0,0,35.9
152,8,6,0,0,48.54
153,9,6,0.1883,0.025479197,50.9
154,10,6,0.4067,0.067548926,50.9
155,11,6,0.5478,0.11008765,69.35
156,12,6,0.6386,0.046731291,70.86
157,13,6,0.6504,0.048294851,71.24
158,14,6,0.6311,0.075509309,73.32
159,15,6,0.5093,0.127442973,70.86
160,16,6,0.299,0.164515551,71.24
161,17,6,0.0553,0.123888956,80.69
162,18,6,0,0.470624771,217.96
163,19,6,0,0.850654847,119.16
164,20,6,0,0.791658888,71.24
165,21,6,0,0.894566741,71.24
166,22,6,0,0.773557001,68.85
167,23,6,0,0.83200114,52.96
168,24,6,0,0.951146753,52.21
169,1,7,0,0.965211416,44.69
170,2,7,0,0.891351188,44.69
171,3,7,0,0.887436155,39.55
172,4,7,0,0.986325604,35.17
173,5,7,0,0.985723557,35.48
174,6,7,0,0.989024285,44.69
175,7,7,0,0.915879379,30.59
176,8,7,0,0.283323932,49.74
177,9,7,0.2056,0.360515339,50.84
178,10,7,0.4097,0.273793664,53.28
179,11,7,0.5584,0.340428392,53.33
180,12,7,0.4656,0.511110499,57.83
181,13,7,0.5802,0.515723955,57.83
182,14,7,0.5964,0.198363213,53.33
183,15,7,0.5111,0.250758925,53.33
184,16,7,0.3605,0.101015736,53.33
185,17,7,0.1202,0.536800102,57.83
186,18,7,0,0.559620232,195.59
187,19,7,0,0.416714734,158.98
188,20,7,0,0.308765333,131.03
189,21,7,0,0.516736692,131.02
190,22,7,0,0.379836547,57.81
191,23,7,0,0.442392947,52.85
192,24,7,0,0.10660762,50.84
193,1,8,0,0.232297276,48.83
194,2,8,0,0.075135959,40.48
195,3,8,0,0.053499633,37.48
196,4,8,0,0.052552105,36.72
197,5,8,0,0.044196719,36.72
198,6,8,0,0.049131519,36.72
199,7,8,0,0.03194268,49.86
200,8,8,0,0.039664591,53.04
201,9,8,0.1584,0.045239443,64.43
202,10,8,0.3603,0.015835753,64.42
203,11,8,0.4586,0,64.42
204,12,8,0.4847,0,59.69
205,13,8,0.5907,0,59.69
206,14,8,0.7654,0,64.42
207,15,8,0.5757,0.045951365,59.69
208,16,8,0.4019,0.162653572,64.42
209,17,8,0.1541,0.393010507,69.75
210,18,8,0,0.82885915,168.08
211,19,8,0,0.928642552,163.73
212,20,8,0,0.707711796,70.25
213,21,8,0,0.632555099,67.68
214,22,8,0,0.627433854,64.42
215,23,8,0,0.592268523,52.92
